Organisation Chain,Auction ID,EMD Amount,Starting Price,Submission Start Date,Submission End Date,Auction Start Date,Product Category
Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||Forest Development Corporation of Maharashtra Ltd.||General Manager Nagpur||Divisional Manager Nagpur,2025_MH_29636,,,06-Jun-2025 02:00 PM,10-Jun-2025 11:30 AM,10-Jun-2025 11:30 AM,Timber
Govt of West Bengal||Zilla Parishad West Bengal||South 24 Parganas||Namkhana Panchayat Samity||Freserganj Gram Panchayat,2025_WB_4737,"25,000","1,70,000",31-May-2025 09:00 AM,10-Jun-2025 01:00 PM,13-Jun-2025 11:00 AM,Others
Govt of Uttar Pradesh||U.P. Co-operative Sugar Factories Federation Ltd.,2025_UP_1577,"50,000","3,190",05-Jun-2025 06:55 PM,10-Jun-2025 01:00 PM,11-Jun-2025 10:00 AM,Miscellaneous
Govt of Uttar Pradesh||U.P. Co-operative Sugar Factories Federation Ltd.,2025_UP_1578,"62,500","3,140",05-Jun-2025 06:55 PM,10-Jun-2025 01:00 PM,11-Jun-2025 10:00 AM,Miscellaneous
Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||Forest Development Corporation of Maharashtra Ltd.||General Manager Nagpur||Divisional Manager Nagpur,2025_MH_29637,,,06-Jun-2025 02:00 PM,10-Jun-2025 01:20 PM,10-Jun-2025 01:20 PM,Timber
Govt of West Bengal||Dakshin Dinajpur Zilla Parishad West Bengal,2025_WB_4754,"51,550","25,77,094",05-Jun-2025 05:00 PM,10-Jun-2025 01:50 PM,13-Jun-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Southern Command Pune||CEO Cannanore,2025_MoD_3991,"25,000","12,075",28-May-2025 05:00 PM,10-Jun-2025 02:00 PM,11-Jun-2025 11:00 AM,Land/Building
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Gadchiroli||Office of the DCF Sironcha",2025_MH_29595,,,05-Jun-2025 05:45 PM,10-Jun-2025 02:30 PM,10-Jun-2025 02:30 PM,Firewood
Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||Forest Development Corporation of Maharashtra Ltd.||General Manager Nagpur||Divisional Manager Nagpur,2025_MH_29638,,,06-Jun-2025 02:00 PM,10-Jun-2025 04:20 PM,10-Jun-2025 04:20 PM,Timber
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Jalgaon District- DMA||Municipal Council Amalner,2025_MH_29704,"50,000","12,00,000",02-Jun-2025 11:00 AM,10-Jun-2025 05:00 PM,13-Jun-2025 11:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Jalgaon District- DMA||Municipal Council Amalner,2025_MH_29674,"50,000","12,00,000",02-Jun-2025 11:00 AM,10-Jun-2025 05:00 PM,13-Jun-2025 11:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Jalgaon District- DMA||Municipal Council Amalner,2025_MH_29676,"50,000","12,00,000",02-Jun-2025 11:00 AM,10-Jun-2025 05:00 PM,13-Jun-2025 11:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration  Wardha District-DMA,2025_MH_29526,"25,000","2,11,000",20-May-2025 11:00 AM,10-Jun-2025 05:00 PM,16-Jun-2025 11:00 AM,Others
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Jalgaon District- DMA||Municipal Council Amalner,2025_MH_29675,"50,000","12,00,000",02-Jun-2025 11:00 AM,10-Jun-2025 05:00 PM,13-Jun-2025 11:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration  Wardha District-DMA,2025_MH_29527,"25,000","5,15,000",20-May-2025 11:00 AM,10-Jun-2025 05:00 PM,16-Jun-2025 03:00 PM,Others
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Jalgaon District- DMA||Municipal Council Amalner,2025_MH_29682,"50,000","12,00,000",02-Jun-2025 11:00 AM,10-Jun-2025 05:00 PM,13-Jun-2025 11:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Jalgaon District- DMA||Municipal Council Amalner,2025_MH_29680,"50,000","12,00,000",02-Jun-2025 11:00 AM,10-Jun-2025 05:00 PM,13-Jun-2025 11:00 AM,Land/Building
